Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-05-18 00:00:00-04:00,41.7583025202686,44.687839417507796,37.73639773033992,37.96480178833008,573576400,0.0,0.0
2012-05-21 00:00:00-04:00,36.27659555082078,36.40569482064785,32.77108385384205,33.79393768310547,168192700,0.0,0.0
2012-05-22 00:00:00-04:00,32.383788169195476,33.35698954876293,30.72537272298183,30.784955978393555,101786600,0.0,0.0
2012-05-23 00:00:00-04:00,31.152391906519483,32.274552434682846,31.142461047707002,31.77802085876465,73600000,0.0,0.0
2012-05-24 00:00:00-04:00,32.721429725047805,32.97962446282299,31.549614970349158,32.800872802734375,50237200,0.0,0.0
2012-05-25 00:00:00-04:00,32.67177857725991,32.72143097624199,30.894194660760693,31.688644409179688,37149800,0.0,0.0
2012-05-29 00:00:00-04:00,31.261628349709188,31.47017260176927,28.451259635252747,28.639942169189453,78063400,0.0,0.0
2012-05-30 00:00:00-04:00,28.500913970985476,29.345016157131653,27.666740749797373,27.99445152282715,57267900,0.0,0.0
2012-05-31 00:00:00-04:00,28.351954851391515,29.464186517802418,26.643886754025367,29.394672393798828,111639200,0.0,0.0
2012-06-01 00:00:00-04:00,28.689593927470575,28.947790574935443,27.199999195716256,27.5277099609375,41855500,0.0,0.0
2012-06-04 00:00:00-04:00,27.01131805700868,27.458195331740786,26.25658984635005,26.713397979736328,35230300,0.0,0.0
2012-06-05 00:00:00-04:00,26.514786454464442,27.567432846906506,25.57137571884075,25.69054412841797,42473400,0.0,0.0
2012-06-06 00:00:00-04:00,25.889158763203977,26.981528722882516,25.342974730423627,26.624025344848633,61489200,0.0,0.0
2012-06-07 00:00:00-04:00,26.812705102509298,27.1602775845135,25.968601044532697,26.127490997314453,26159500,0.0,0.0
2012-06-08 00:00:00-04:00,26.365828092654517,27.567435590170728,26.25659242496599,26.91201400756836,38034000,0.0,0.0
2012-06-11 00:00:00-04:00,26.991456460274623,27.87528204915044,26.653814840994905,26.822635650634766,28219600,0.0,0.0
2012-06-12 00:00:00-04:00,27.289373484666633,27.57736269232864,26.77298021900082,27.209928512573242,15816800,0.0,0.0
2012-06-13 00:00:00-04:00,27.468127470025763,27.905075800576995,26.91201261830819,27.080833435058594,17102800,0.0,0.0
2012-06-14 00:00:00-04:00,27.45819592071798,28.123548311878448,27.19006841365682,28.09375762939453,16855000,0.0,0.0
2012-06-15 00:00:00-04:00,28.3122298841436,29.89120040236507,28.153339935880094,29.80182456970215,43563800,0.0,0.0
2012-06-18 00:00:00-04:00,29.75217334804142,31.857470115133854,29.205989331273653,31.192115783691406,42978900,0.0,0.0
2012-06-19 00:00:00-04:00,31.321212110830004,31.9567719095652,30.487038927931255,31.688644409179688,30849000,0.0,0.0
2012-06-20 00:00:00-04:00,31.698576342638027,31.7085072015947,30.933917250033105,31.380796432495117,15553600,0.0,0.0
2012-06-21 00:00:00-04:00,31.450310275706837,32.27455262071737,31.291420322026564,31.619131088256836,21875300,0.0,0.0
2012-06-22 00:00:00-04:00,32.18517612961737,33.21796270162605,31.83760554684292,32.820735931396484,74834000,0.0,0.0
2012-06-25 00:00:00-04:00,32.632052294430416,32.79094223024521,31.331138340535308,31.837602615356445,24352900,0.0,0.0
2012-06-26 00:00:00-04:00,32.463232299937594,33.20802964615285,32.274551669327735,32.87038803100586,24858700,0.0,0.0
2012-06-27 00:00:00-04:00,32.234828013543805,32.67177821145846,31.678713195876906,32.00642395019531,28568000,0.0,0.0
2012-06-28 00:00:00-04:00,31.738298166489294,31.966702242170232,30.68565173125383,31.1424617767334,17713300,0.0,0.0
2012-06-29 00:00:00-04:00,31.69857546298254,31.76808957963253,30.54662237362308,30.88426399230957,19526900,0.0,0.0
2012-07-02 00:00:00-04:00,31.033220796459684,31.50989061330511,30.338075892971993,30.556550979614258,14122000,0.0,0.0
2012-07-03 00:00:00-04:00,30.695582774546278,31.221906942382066,30.586345218513753,30.983572006225586,8763600,0.0,0.0
2012-07-05 00:00:00-04:00,31.102738442356667,31.4105874972872,30.804820246503596,31.251697540283203,10032100,0.0,0.0
2012-07-06 00:00:00-04:00,31.22190608768046,31.678714229279137,31.043154416927013,31.5098934173584,10945600,0.0,0.0
2012-07-09 00:00:00-04:00,31.87732426437699,32.65191606492963,31.76808861045283,31.94683837890625,17785200,0.0,0.0
2012-07-10 00:00:00-04:00,32.205039176424876,32.254691577694494,30.94384848535267,31.251697540283203,14269500,0.0,0.0
2012-07-11 00:00:00-04:00,31.26162559556983,31.34107056694657,30.338076619491744,30.755163192749023,13030300,0.0,0.0
2012-07-12 00:00:00-04:00,30.487037769806687,31.1821807997372,30.387731081497318,30.59627342224121,11300700,0.0,0.0
2012-07-13 00:00:00-04:00,30.824682602050288,30.854473285780987,30.348010827063998,30.506900787353516,8108300,0.0,0.0
2012-07-16 00:00:00-04:00,30.288427369784465,30.288427369784465,28.014311749892993,28.054035186767578,24672100,0.0,0.0
2012-07-17 00:00:00-04:00,28.282437523988904,28.391675074546267,26.961663635164157,27.895143508911133,30438600,0.0,0.0
2012-07-18 00:00:00-04:00,28.11361793466846,29.086821285032276,27.954727978306554,28.908069610595703,16841800,0.0,0.0
2012-07-19 00:00:00-04:00,29.205987688004953,29.29536352486446,28.431397733261765,28.798831939697266,13685100,0.0,0.0
2012-07-20 00:00:00-04:00,28.798830296574803,29.265569278119724,28.52077194286348,28.560495376586914,11869100,0.0,0.0
2012-07-23 00:00:00-04:00,27.924934899520746,28.798829584536346,27.815697353599724,28.55056381225586,12390700,0.0,0.0
2012-07-24 00:00:00-04:00,28.62008163717256,29.24571252516324,27.90507680215813,28.252649307250977,11539800,0.0,0.0
2012-07-25 00:00:00-04:00,28.19306380622847,29.28543371141978,27.885214742786886,29.136474609375,17230200,0.0,0.0
2012-07-26 00:00:00-04:00,27.55750233374935,28.034172189798944,26.544577469055735,26.663745880126953,64597400,0.0,0.0
2012-07-27 00:00:00-04:00,23.029135103256458,24.36977074182211,22.125447783404145,23.5455265045166,123102300,0.0,0.0
2012-07-30 00:00:00-04:00,23.833514414736037,23.87323784793702,22.87024388902277,22.989410400390625,29285900,0.0,0.0
2012-07-31 00:00:00-04:00,23.20788511366036,23.20788511366036,21.460093857986386,21.559398651123047,56179400,0.0,0.0
2012-08-01 00:00:00-04:00,21.350853049835056,21.430298008674406,20.695431665881127,20.735153198242188,44604400,0.0,0.0
2012-08-02 00:00:00-04:00,20.625921336552278,20.695435451487565,19.682510620413872,19.900985717773438,56374500,0.0,0.0
2012-08-03 00:00:00-04:00,20.218767028172223,22.006280001355112,19.76195697868558,20.943702697753906,80647000,0.0,0.0
2012-08-06 00:00:00-04:00,21.241620184260825,21.996348405976992,21.152244349181434,21.7679443359375,27778900,0.0,0.0
2012-08-07 00:00:00-04:00,22.046002105126295,22.294267886066375,20.357794037086702,20.57626724243164,36782900,0.0,0.0
2012-08-08 00:00:00-04:00,20.566336383899927,21.003284688707396,20.079735680551476,20.57626724243164,29537400,0.0,0.0
2012-08-09 00:00:00-04:00,20.606063040005026,21.023149692965024,20.467034787057656,20.864259719848633,15610700,0.0,0.0
2012-08-10 00:00:00-04:00,21.261481785808634,21.66863752378453,20.983423423288514,21.658706665039062,25794700,0.0,0.0
2012-08-13 00:00:00-04:00,21.99634682343607,22.29426688363921,21.251549514104482,21.450162887573242,24973100,0.0,0.0
2012-08-14 00:00:00-04:00,21.26148422622707,21.450166775812843,20.109530997177444,20.238628387451172,39308800,0.0,0.0
2012-08-15 00:00:00-04:00,20.49682176197079,21.261480802965398,20.258486845449912,21.05293846130371,47861100,0.0,0.0
2012-08-16 00:00:00-04:00,20.29821003977652,20.33793157833722,19.55341272411763,19.73216438293457,157565300,0.0,0.0
2012-08-17 00:00:00-04:00,19.871192014861307,19.94070612585197,18.86819809913928,18.917850494384766,129293400,0.0,0.0
2012-08-20 00:00:00-04:00,18.917853183487036,19.990361362652767,18.619934981431232,19.87119483947754,101186600,0.0,0.0
2012-08-21 00:00:00-04:00,19.444172779000663,19.84139758617854,18.957572153443103,19.02708625793457,70640600,0.0,0.0
2012-08-22 00:00:00-04:00,19.225704098380696,19.394524917620856,18.828477304320746,19.30514907836914,49892200,0.0,0.0
2012-08-23 00:00:00-04:00,19.36473233983104,19.5931364205331,19.225704098380696,19.30514907836914,32813700,0.0,0.0
2012-08-24 00:00:00-04:00,19.384591931166927,19.543481873707844,19.116464442835063,19.275354385375977,29622200,0.0,0.0
2012-08-27 00:00:00-04:00,19.354802064313084,19.39452550256424,18.967508011953257,19.017160415649414,20704000,0.0,0.0
